category	answer	question	air_date
LITERARY CHARACTERS	2 characters in this American classic were named for a king of Israel & the oldest son of Abraham	Moby-Dick	1991-05-27
BEST SELLERS	1 of 2 authors to have 3 books among the Top 10 Fiction Best Sellers of the 1980s	(1 of) Stephen King or Tom Clancy	1991-05-28
U.S. PRESIDENTS	He served as president during the 49th, 50th, 53rd & 54th Congresses	Grover Cleveland	1991-05-29
FINAL RESTING PLACES	More than 100 years after his death, he was reburied with honors at the U.S. Naval Academy in 1913	John Paul Jones	1991-05-30
TELEVISION	This documentary series was the highest-rated series in PBS history	The Civil War	1991-05-31
FAMOUS NAMES	He was the first chairman of the SEC & later became ambassador to Great Britain	Joseph Kennedy	1991-06-03
COUNTRIES OF THE WORLD	By its calendar this country became independent on the 5th day of Iyar, 5708	Israel	1991-06-04
VICE PRESIDENTS	He was the last vice president who didn't serve a full 4-year term	Nelson Rockefeller	1991-06-05
AMERICAN BUSINESS	In the 1980s, this company bought Kraft & General Foods, making it No. 1 in food as well as in cigarettes	Philip Morris	1991-06-06
U.S. CITIES	Marietta, Ohio, made capital of the Northwest Territory in 1788, was named after this person	Marie Antoinette	1991-06-07
WORLD CITIES	"Its name translates to ""capital city"" & for Japan it was, from 794 to 1868"	Kyoto	1991-06-10
TRAVEL EUROPE	Amusement park, known for its gardens, built in 1843 on the old ramparts of a capital city	Tivoli Gardens	1991-06-11
U.S. PRESIDENTS	On Feb. 5, 1924 he became the only president buried in Washington, D.C.	Woodrow Wilson	1991-06-12
TELEVISION	"This spin-off from ""All in the Family"" ran for more episodes than its parent show"	The Jeffersons	1991-06-13
MOVIE STARS	This former dance teacher & ditch digger made his film debut in 1942; his leading lady was Judy Garland	Gene Kelly	1991-06-14
WORLD LEADERS	In 1969 he became Peru's first ambassador to the Soviet Union	(Javier) Pérez de Cuéllar	1991-06-17
EUROPE	2 of the 3 European countries officially called principalities	(2 of) Monaco, Liechtenstein or Andorra	1991-06-18
FIRST LADIES	"The two 20th century women who were ""Second Lady"" for 8 years before becoming ""First\"""	Barbara Bush & Pat Nixon	1991-06-19
MUSEUMS	Since 1899 this museum of decorative arts has borne the names of two first cousins	the Victoria and Albert Museum	1991-06-20
AMERICAN POLITICS	He was the only man to preside over both the House & the Senate on the same day, March 4, 1933	John Nance Garner	1991-06-21
AMERICAN AUTHORS	Named for a U.S. president, this author wrote a 5-volume biography of that president in the 1850s	Washington Irving	1991-06-24
BUSINESS & INDUSTRY	"The name of this automaker is an abbreviation of ""Japan Industries\"""	Nissan	1991-06-25
U.S. GOVERNMENT	Of all the independent agencies of the U.S. government, this one has the most employees	the Postal Service (the Post Office)	1991-06-26
COMPOSERS	"He originally titled his work ""How Petya Outwitted the Wolf"", but that gave away the end"	Prokofiev	1991-06-27
COLONIAL AMERICA	Their marriage in 1614 brought eight years of peace to the Jamestown Colony	Pocahontas & John Rolfe	1991-06-28
THE PRESIDENCY	By custom, presidents add these 4 words to the constitutionally dictated oath of office	so help me God	1991-07-01
FAMOUS NAMES	This survivor of WWII's Bataan Death March went on to become a world leader	Ferdinand Marcos	1991-07-02
ROYALTY	At his death in January 1991, the king of this country was the world's oldest reigning monarch	Norway	1991-07-03
THE SILENT SCREEN	1-word title of the blockbuster 1927 film that catapulted Clara Bow to stardom	It	1991-07-04
SHAKESPEARE	"In ""Hamlet"", this character says, ""The apparel oft proclaims the man\"""	Polonius	1991-07-05
20th CENTURY EUROPE	As Europe chose sides before WWI, Russia joined these 2 nations in the Triple Entente	France and Great Britain	1991-07-08
STATE CAPITALS	1 of 2 state capitals that formerly served as capital of the U.S.	(1 of) Annapolis or Trenton	1991-07-09
AMERICAN AUTHORS	A 40-year old widower, he was engaged to remarry when he died mysteriously in Baltimore in 1849	Edgar Allan Poe	1991-07-10
FAMOUS DANCERS	The only real-life couple Astaire & Rogers played in their 10 films together was this dance team	Vernon & Irene Castle	1991-07-11
AFRICA	2 of the 4 African countries that have been members of the UN since its founding	(2 of) Egypt, South Africa, Ethiopia & Liberia	1991-07-12
GOVERNMENT & POLITICS	Ronald E. Paul, the candidate of this party, got the third most votes in the 1988 presidential election	Libertarian	1991-07-15
HISTORIC NAMES	He married Edith Bolling Galt, a widow, on December 18, 1915 in her Washington, D.C. drawing room	Woodrow Wilson	1991-07-16
MUSICIANS	This famed musician disappeared on December 16, 1944 & was never found	Glenn Miller	1991-07-17
TELEVISION	She has won 8 Emmys, more than any other performer, the 1st for Best Female Singer in 1954	Dinah Shore	1991-07-18
POETS	This baron was England's poet laureate from 1850 to 1892, longer than anyone else	Alfred Lord Tennyson	1991-07-19
POETRY	"Robert Browning's poem about him contains the line ""Rats! They fought the dogs and killed the cats\"""	Pied Piper (of Hamelin)	1991-09-02
NOVELS	"Hemingway novel that begins, ""Robert Cohn was once middleweight boxing champion of Princeton\"""	The Sun Also Rises	1991-09-03
U.S. PRESIDENTS	He was the 1st Democrat elected president after the Civil War	(Grover) Cleveland	1991-09-04
ACTRESSES	She was the special guest at the Empire State Building's 60th anniversary celebration on May 1, 1991	Fay Wray	1991-09-05
BUSINESS & INDUSTRY	It's the largest company on the Fortune 500 named for a person	(Henry) Ford	1991-09-06
THE OLYMPICS	This country hoped to get the 1996 games as it would have been 100 years since it last had them	Greece	1991-09-09
CLASSICAL MUSIC	At the premiere of this Handel work, explosions destroyed part of the outdoor pavilion	Music for the Royal Fireworks	1991-09-10
HOLIDAYS & OBSERVANCES	The day Canadians celebrate Thanksgiving, Americans observe this day	Columbus Day	1991-09-11
INVENTORS	Advised to invent something to be used & thrown away, he did in 1895 & made a fortune	King Gillette	1991-09-12
THE 20th CENTURY	He was attacked by R. Mercader, a Spanish Communist agent, on Aug. 20, 1940 & died the following day	Leon Trotsky	1991-09-13
FICTIONAL CHARACTERS	"An accomplished author, his masterpiece was a ""Practical Handbook of Bee Culture\"""	Sherlock Holmes	1991-09-16
FAMOUS MOVIE PAIRS	The only Tracy & Hepburn film with their characters' names in its title	Pat and Mike	1991-09-17
MEDALS & DECORATIONS	The first Victoria Cross was made from Russian guns captured during this war	the Crimean War	1991-09-18
ORGANIZATIONS	It was founded in 1938 as the National Foundation for Infantile Paralysis	March of Dimes	1991-09-19
U.S. PRESIDENTS	The first president to serve 8 full years	Thomas Jefferson	1991-09-20
WOMEN IN HISTORY	In 1909 she became the 1st woman pres. of what later became the National Conference of Social Work	Jane Addams	1991-09-23
THE PULITZER PRIZE	In 1991 he won his second Pulitzer for fiction, with a book that was a sequel to his first winner	John Updike	1991-09-24
BUSINESS & FINANCE	The Bank of N.Y., America's oldest continuously operating bank, was founded by him in 1784	Alexander Hamilton	1991-09-25
U.S. GOVERNMENT	12 of the 15 persons impeached by the federal gov't held this position	(federal) judge(s) (judgeship)	1991-09-26
SOUTHEAST ASIA	It's the only country in Southeast Asia with a Christian majority	the Philippines	1991-09-27
THE OLD TESTAMENT	The 2 books that list the Ten Commandments	Exodus & Deuteronomy	1991-09-30
THE DECLARATION OF INDEPENDENCE	Last name of the 2 brothers from Virginia who signed the Declaration of Independence	Lee	1991-10-01
STAMPS & COINS	2 of the 3 countries in whose currencies United Nations stamps are issued	(2 of) United States, Switzerland & Austria	1991-10-02
THE ELEMENTS	"The 2 metallic elements whose names end in ""D\"""	lead & gold	1991-10-03
FAMOUS NAMES	This future foreign prime minister attended Milwaukee Teachers Training College in 1916 & '17	Golda Meir	1991-10-04
CHILDREN'S LITERATURE	"Howard R. Garis wrote some 12,000 stories about this ""Uncle"" & his friends between 1910-1947"	Uncle Wiggily	1991-10-07
SPACE EXPLORATION	"After his Mercury flight, he named his Gemini capsule ""Molly Brown\"""	Gus Grissom	1991-10-08
DANCERS	In 1912, she bought a London home which became famous for its ornamental lake with swans	Anna Pavlova	1991-10-09
BUSINESS & INDUSTRY	The oldest U.S. food trademark still in use, a red devil, was granted to this company in 1870	Underwood	1991-10-10
U.S. CITIES	The paper making Winston Churchill an honorary U.S. citizen is in this city named for an inventor	Fulton, Missouri	1991-10-11
WORLD WAR II	H.M.S. Hood, then the world's largest warship, was sunk by this battleship May 24, 1941	the Bismarck	1991-10-14
U.S. PRESIDENTS	This president kept a personally significant coconut shell on his White House desk	John Fitzgerald Kennedy	1991-10-15
MUSICAL THEATRE	"The title of this 1932 Pulitzer Prize winner comes from the patriotic song ""America\"""	Of Thee I Sing	1991-10-16
ORGANIZATIONS	The USA's oldest nationwide voluntary health agency, it was founded in 1904 to combat tuberculosis	the American Lung Association	1991-10-17
SCIENCE	It's the only chemical element named for a U.S. state	Californium	1991-10-18
U.S. PRESIDENTS	Of our 4 assassinated presidents, these 2 were shot in Washington, D.C.	Lincoln & Garfield	1991-10-21
THE NEW TESTAMENT	At his mother's request, Jesus performed his first miracle in public at this event	the wedding at Cana	1991-10-22
THE MOVIE INDUSTRY	This motion picture process was invented by an alumnus of MIT & named in honor of the school	Technicolor	1991-10-23
THE SENATE	The 2 former major party vice presidential nominees who are now senators	Robert Dole & Lloyd Bentsen	1991-10-24
LITERARY SEQUELS	"\""Perchance to Dream"" is Robert B. Parker's sequel to this 1939 Raymond Chandler novel"	The Big Sleep	1991-10-25
BUSINESS & INDUSTRY	This Minneapolis company was incorporated in 1928 when 5 flour-making firms merged	General Mills	1991-10-28
INVENTORS	In 1852 he invented an automatic safety device to prevent the fall of hoisting machinery	(Elisha) Otis	1991-10-29
ACTORS & THEIR ROLES	Ronald Reagan, Errol Flynn, Richard Mulligan & Gary Cole have all played this historical role	George Armstrong Custer	1991-10-30
THE WINTER OLYMPICS	2 of the 3 cities that have hosted the games twice	St. Moritz, Lake Placid & Innsbruck, Austria	1991-10-31
ASIAN CAPITALS	This city was designed in 1912 by English architect Edwin Lutyens	New Delhi	1991-11-01
ANCIENT LITERATURE	More writings of this orator survive than of any other Latin author	Cicero	1991-11-04
WORLD LEADERS	He died in 1965 & was buried in St. Martin's churchyard near the palace where he was born in 1874	Winston Churchill	1991-11-05
TRANSPORTATION	The world's 14th largest airline is based in this 240-square-mile island nation	Singapore (Singapore Airlines)	1991-11-06
THE BIBLE	"The English title of this book is a translation of the Greek word ""arithmoi\"""	Numbers	1991-11-07
ACTRESSES & THEIR ROLES	This American actress won a 1960 Tony & a 1962 Oscar for playing the same teacher	Anne Bancroft	1991-11-08
AUTHORS	His father was a general under Napoleon & he took part in Garibaldi's liberation of Sicily in 1860	Alexandre Dumas	1991-11-11
SOUTH AFRICA	The University of Cape Town is on the grounds of Groote Schuur, the former home of this statesman	Cecil Rhodes	1991-11-12
AFRICAN AMERICANS	In 1978 she became the first black woman honored on a U.S. postage stamp	Harriet Tubman	1991-11-13
U.S. PRESIDENTS	The first two consecutive presidents who were from the same state	Thomas Jefferson & James Madison (both from Virginia)	1991-11-14
COLONIAL AMERICA	The colonists referred to the first three French & Indian Wars using the names of these three British monarchs	George, Anne & William	1991-11-15
LITERARY SETTINGS	"This ""sequestered glen"" lies about 2 miles from the Tappan Zee"	Sleepy Hollow	1991-11-18
PLAYS	"This 1954 play is actually 2 one-acts, ""Table by the Window"" & ""Table Number Seven\"""	Separate Tables	1991-11-19
INTERNATIONAL CUISINE	"Robert Burns called this dish ""Great chieftain o' the puddin'-race!""; it's still eaten to honor his birthday"	haggis	1991-11-20
U.S. CURRENCY	The Treasury prints more bills in these 2 denominations than any other	$1 bills & $20 bills	1991-11-21
THE ELEMENTS	This element, whose name is from the Greek, would be Lucifer in Latin	phosphorus	1991-11-22
THE CENSUS	This state has the highest percentage of Hispanics — 38%	New Mexico	1991-11-25
FAMOUS NAMES	"In the late 1880s this engineer earned the nickname ""Magician of Iron\"""	Alexandre Gustave Eiffel	1991-11-26
SHAKESPEARE	"In his diary Samuel Pepys described this play as silly, ""and not related at all to the name or day\"""	Twelfth Night, or What You Will	1991-11-27
ORGANIZATIONS	The forerunner of this organization was founded in 1887 to coordinate 22 Denver charities	United Way	1991-11-28
SCIENTISTS	In 1902, at age 23, he was appointed to a position in the patent office in Bern, Switzerland	Albert Einstein	1991-11-29
U.S. STATES	At the time of the first U.S. census, in 1790, this state was the most populous & the largest in area	Virginia	1991-12-02
THE BRITISH EMPIRE	This country which gained independence in 1981 was Britain's last colony on the mainland of the Americas	Belize (British Honduras)	1991-12-03
ORGANIZATIONS	It grew out of vigilance committees set up by local advertising clubs to monitor false advertising	the Better Business Bureau	1991-12-04
U.S. MONUMENTS	Commissioned in 1916 by the United Daughters of the Confederacy, it was finally completed in 1972	Stone Mountain	1991-12-05
SONG STANDARDS	"According to Irving Berlin, ""They can play a bugle call like you never heard before\"""	Alexander's Ragtime Band	1991-12-06
OPERA	"This 1926 opera was inspired by a Carlo Gozzi play written in 1762 & described as a ""Chinese fairy tale\"""	Turandot	1991-12-09
WORLD GEOGRAPHY	In its native language this island is called Kalaallit Nunaat	Greenland	1991-12-10
THE SOVIET UNION	The head of the Leningrad Communist Party in the 1920s; an opera & ballet theatre is named for him	Sergei Kirov	1991-12-11
BRIDGES	In 1941 the Rainbow Bridge replaced the Honeymoon Bridge over this river	the Niagara River	1991-12-12
THEATRE	Peter Shaffer omitted the death of Emperor Joseph II from the NYC production of this play	Amadeus	1991-12-13
ANCIENT WORLDS	In the early 1800s hieroglyphics were first translated by an Egyptologist from this country	France	1991-12-16
PRESIDENTIAL RELATIVES	He's the grandson of one president & the son-in-law of another	David Eisenhower	1991-12-17
AMERICAN NOVELS	The narrative in this 1851 novel contains a dissertation on cetology	Moby-Dick	1991-12-18
NAMES IN THE NEWS	In 1952 he set up a law practice with partner Oliver Tambo	Nelson Mandela	1991-12-19
THEATRE	The patriarch of this family was born Herbert Blythe in 1847; he took a stage name in 1872	the Barrymores	1991-12-20
U.S. CITIES	The Colorado city named for its location at the confluence of 2 major rivers	Grand Junction	1991-12-23
HISTORIC ROUTES	"Also called the ""Regina Viarum"", Queen of Roads, it was named after the censor who started it"	the Appian Way	1991-12-24
CHINA	The Ch'in Dynasty gave China its first emperor, this dynasty gave it its last	the Ch'ing (or Manchu) Dynasty	1991-12-25
FAMOUS ADDRESSES	His home address is the Admiral's House, 34th Street & Massachusetts Avenue, Washington, DC	the Vice President of the U.S. (Dan Quayle)	1991-12-26
19th CENTURY NOVELS	"The heroines in this novel perform an original melodrama called ""The Witch's Curse\"""	Little Women	1991-12-27
NOTORIOUS WOMEN	This Dutchwoman claimed she was the daughter of an Indian dancer & was raised in a Hindu temple	Mata Hari	1991-12-30
THE MOVIES	This 1971 musical featured violin solos by Isaac Stern	Fiddler on the Roof	1991-12-31
INSECTS	This pest escaped from a Mass. lab, where it was brought in the 19th C. as a possible silkworm	gypsy moth	1992-01-01
LITERATURE	This 1952 novel is based on a Biblical story & set in California's Salinas Valley	East of Eden	1992-01-02
EUROPEAN NOVELS	"A BBC Radio musical called ""The Blooms of Dublin"" was based on this novel"	Ulysses	1992-01-03
MYTHOLOGY	Jupiter made Chiron, the wisest & most just of all centaurs, this constellation	Sagittarius	1992-01-06
EDUCATION	Friedrich Froebel wanted children to grow naturally, like plants, so he named his school this	kindergarten	1992-01-07
BUSINESS & INDUSTRY	These 2 brothers-in-law merged their soap- & candle-making businesses in 1837	Procter & Gamble	1992-01-08
THE SENATE	In 1961 he became the first Republican senator from Texas since Reconstruction	John Tower	1992-01-09
AMERICAN DRAMA	"This 1938 play's 3 acts are titled ""Daily Life"", ""Love and Marriage"" & ""Death\"""	Our Town	1992-01-10
WORLD GEOGRAPHY	It has the largest population of any country completely south of the Equator	South Africa	1992-01-13
BUSINESS & INDUSTRY	"The New York Stock Exchange symbol of this Montreal-based company is ""VO\"""	Seagram	1992-01-14
HISTORIC NAMES	In exile from the U.S., he lived in St. John, New Brunswick from 1787 to 1791	Benedict Arnold	1992-01-15
MOVIE MUSICALS	This 1955 movie musical featured Rod Steiger in a dream ballet choreographed by Agnes de Mille	Oklahoma!	1992-01-16
WORD ORIGINS	"This verb meaning to consider carefully or weigh in the mind comes from Latin for ""weight\"""	ponder	1992-01-17
THE STATUE OF LIBERTY	At her feet is a broken one of these	chain	1992-01-20
U.S.A.	This community outside Washington, D.C. is named after a Presbyterian church built there in 1820	Bethesda, Maryland	1992-01-21
ISLAND GROUPS	The last place Columbus stopped for supplies before reaching the New World	the Canary Islands	1992-01-22
WOMEN AUTHORS	In 1901 she published what has become the best-selling children's book of all time	Beatrix Potter	1992-01-23
THE BIBLE	"The book of Genesis ends with his death ""and he was put in a coffin in Egypt\"""	Joseph	1992-01-24
U.S. HISTORY	Ironically, U.S. Grant's 1854 resignation from the Army was accepted by this Secretary of War	Jefferson Davis	1992-01-27
THE ELEMENTS	It's the only radioactive element that occurs naturally as a gas	radon	1992-01-28
AFRICAN HISTORY	"Taitu, the wife of Emperor Menelik II, gave this capital city its name; it means ""new flower\"""	Addis Ababa	1992-01-29
ART	"Rodin originally conceived ""The Thinker"" as a seated portrait of this author for ""The Gates of Hell\"""	Dante	1992-01-30
ACTORS OF THE PAST	Born in 1895, 2 of his greatest film roles were Julio Desnoyers & Ahmed Ben Hassan	Rudolph Valentino	1992-01-31
U.S. GEOGRAPHY	2 of the 3 U.S. states that have Erie Counties	New York, Ohio & Pennsylvania	1992-02-03
MAGAZINES	This late actor was on the July 13, July 20 & July 27, 1991 TV guide covers	Michael Landon	1992-02-04
FAMOUS WOMEN	She was granted free use of the mails in December 1963	Jacqueline Kennedy	1992-02-05
U.S. PRESIDENTS	1 of the 4 presidents who never had a vice president	(1 of) Tyler, Fillmore, Andrew Johnson & Arthur	1992-02-06
THE CIVIL WAR	It was the only Confederate capital east of the Mississippi never captured by Union troops	Tallahassee, Florida	1992-02-07
U.S. CITIES	Pedro Menendez de Aviles founded this city September 8, 1565	St. Augustine, Florida	1992-02-10
BUSINESS & INDUSTRY	James River Corp., maker of Brawny towels & Dixie cups, is based in this state capital	Richmond, Virginia	1992-02-11
MOVIE MUSICALS	Among the characters in this 1950 film are Buffalo Bill, Sitting Bull & Kaiser Wilhelm II	Annie Get Your Gun	1992-02-12
SCIENTISTS	From 1937-1970 he taught physics & seismology at Caltech	Charles Richter	1992-02-13
FICTIONAL CHARACTERS	"He was listed as the author of 1726's ""Travels into Several Remote Nations of the World\"""	(Lemuel) Gulliver	1992-02-14
LAKES & RIVERS	The 2 Great Lakes that border only 1 U.S. state	Lake Ontario & Lake Huron	1992-02-17
NOTORIOUS	"Some believe the ""suicide"" of this man on August 17, 1987 in West Berlin was murder"	Rudolf Hess	1992-02-18
GEOGRAPHY	"The name of this Greek mountain pass means ""hot gates\"""	Thermopylae	1992-02-19
ARTISTS	"His 1979-1986 ""Retrospectives & Reversals"" reversed & juxtaposed images from his earlier work"	Andy Warhol	1992-02-20
SPORTS	In the 1970s & 1980s over half the Little League World Series champions came from this island	Taiwan	1992-02-21
CHILDREN'S BOOKS	You'll find this Martin Hanford character is Charlie in France & Ubaldo in Italy	Waldo	1992-02-24
ASTRONOMY	Areology is the scientific study of this planet	Mars	1992-02-25
EXPLORERS	In the 1480s his brother Bartholomew gave England's Henry VII a world map to show him their plan	Christopher Columbus	1992-02-26
SCIENCE	1 of 2 chemical elements whose symbol is a pronoun	(1 of) iodine or helium	1992-02-27
IN THE NEWS	In November 1991, 2 people from this country were indicted for the 1988 Pan Am 103 bombing	Libya	1992-02-28
ANIMALS	It's 1 of only 2 mammals with a beak	(1 of) (duck-bill(ed)) platypus or an echidna	1992-03-02
COMPOSERS	The Royal Liverpool Harmonic marked its 150th anniversary by premiering his oratorio	Paul McCartney	1992-03-03
U.S. STATES	2 of only 3 U.S. states which have all straight-line boundaries	(2 of) Colorado, Utah, & Wyoming	1992-03-04
LITERATURE	"In ""The Jungle Book"" it's called ""the Red Flower"" & ""every beast lives in fear of it\"""	fire	1992-03-05
20th CENTURY VICE PRESIDENTS	The only VP to become president not immediately after his vice presidential term	Richard Nixon	1992-03-06
THE U.S.A.	With 8, this state has the most national parks	Alaska	1992-03-09
BUSINESS & INDUSTRY	This company that operates over 1400 discount stores is based in Bentonville, Arkansas	Wal-Mart (Stores)	1992-03-10
20th CENTURY PRESIDENTS	With 10 letters, his middle name was the longest of any U.S. president	(John Fitzgerald) Kennedy	1992-03-11
FAMOUS NAMES	In 1789, while commander of Paris' National Guard, he saved Marie Antoinette from a mob that invaded Versailles	Marquis de Lafayette	1992-03-12
THE OSCARS	This children's author won 3 Oscars: 2 for documentaries & 1 for a Gerald McBoing-Boing cartoon	Dr. Seuss	1992-03-13
FRANCE	"The name of this coastal city is believed to be derived from the Greek for ""victory\"""	Nice	1992-03-16
NOTORIOUS	No one was ever convicted of the double murder committed in this Massachusetts town on August 4, 1892	Fall River, Massachusetts	1992-03-17
LANGUAGES	Swedish is an official language of these 2 European countries	Sweden & Finland	1992-03-18
BROADWAY MUSICALS	This 1948 show, the 1st to win a Tony as Best Musical was inspired by a Shakespeare play	Kiss Me, Kate	1992-03-19
POETRY	Much of this poem was probably written at the Indian Queen Inn in Baltimore in September 1814	"\""The Star-Spangled Banner\"""	1992-03-20
BRITISH RULERS	He was the first Hanoverian monarch born in England; his father was Frederick, Prince of Wales	George III	1992-03-23
OPERETTAS	Hanna Glawari, whose late husband has left her a fortune, is the heroine of this 1905 operetta	"\""The Merry Widow\"""	1992-03-24
U.S. PRESIDENTS	He served 8 years each as a member of the House, secretary of state & president	James Madison	1992-03-25
WORLD BUSINESS	After a heraldic lion was placed over its entrance in 1522, a German brewery took this name	Lowenbrau	1992-03-26
MYTHS & LEGENDS	One legend says he was the Earl of Huntingdon & lived from 1160 to 1247	Robin Hood	1992-03-27
ANCIENT ROME	"Profession of those who said, ""Ave, Caesar, morituri te salutant\"""	gladiators	1992-03-30
AWARDS	The Pulitzer Prize Gold Medal features an engraving of this 18th century American	Benjamin Franklin	1992-04-10
AUSTRALIA	The flags of these 2 Australian states have crowns on them	Queensland & Victoria	1992-04-13
AUTHORS	His exact birthday is unknown, but it's believed to be Sept. 29, 1547, the feast day of San Miguel	Miguel de Cervantes	1992-04-15
INTERNATIONAL ORGANIZATIONS	It was founded in Baghdad, Iraq in September 1960	OPEC	1992-04-17
MONARCHS	After more than 40 years in exile, King Michael returned to this country in 1990 only to be expelled again	Romania	1992-04-20
AMERICAN ART	This painting commemorating the 100th anniv. of the American Revolution was inspired by a July 4th parade	The Spirit of '76	1992-04-21
THE ELEMENTS	It has the lowest melting point of any metallic element, -38° F.	mercury	1992-04-22
SHAKESPEAREAN CHARACTERS	"The 3 characters who die in the last scene of ""Romeo and Juliet"" are Romeo, Juliet & this person"	Paris	1992-04-23
VICE PRESIDENTS	2 of only 6 vice presidents who served 2 full terms in office	(2 of) Adams, Nixon, Bush, Tompkins (Monroe's), Marshall (Wilson's) or Garner (FDR's 1st & 2nd terms)	1992-04-24
U.S. PRESIDENTS	He was the first Navy veteran to become president	Kennedy	1992-04-30
OSCAR WINNING FILMS	"It ends as the main character, Don Birnam, begins work on a new novel, ""The Bottle\"""	The Lost Weekend	1992-05-01
THE 1970s	These documents revealed the Truman admin. gave military aid to France in its war against the Viet Minh	Pentagon Papers	1992-05-04
FICTIONAL CHARACTERS	Verona, Italy has someone who answers dozens of letters sent each week to this 13-year-old girl	Juliet	1992-05-05
WORLD LEADERS	On Feb. 24, 1992, this Nobel Peace Prize winner's first column appeared in the New York Times	Gorbachev	1992-05-06
WORLD GEOGRAPHY	At about 1 million square miles, it's the world's largest peninsula	Arabian	1992-05-07
VICE PRESIDENTS	He was the most recent Democratic Vice President to become President	Lyndon Johnson	1992-05-08
SECRETARIES OF STATE	This Secretary of State's original first name was Heinz	Henry Kissinger	1992-05-11
COLONIAL AMERICA	Charles II's brother, the Duke of this, was put in charge of getting the Dutch out of New Amsterdam	York	1992-05-12
ZOOLOGY	The scientific name of this mammal is abbreviated H. amphibius	a hippopotamus	1992-05-13
RELIGIOUS LEADERS	Gan-den Trup-pa, a monk, scholar & author, was the first man to be given this title	the Dalai Lama	1992-05-14
AMERICAN HISTORY	John Alden was the last surviving signer of this	the Mayflower Compact	1992-05-15
U.S. PRESIDENTS	A native Kentuckian, he was the first president born outside of the original 13 states	Abraham Lincoln	1992-05-18
ARTISTS	"2 of his major works are ""Synagogue at Safed"" (1931) & ""King David"" (1951)"	Chagall	1992-05-19
TRAVEL & TOURISM	This sparsely populated state has the highest percentage of its workforce in tourism, about a third	Nevada	1992-05-20
AMERICAN STORIES	"Story that begins, ""Whoever has made a voyage up the Hudson must remember the Kaatskill Mountains\"""	"\""Rip Van Winkle\"""	1992-05-21
COMPOSERS	An anthem that he composed for George II's 1727 coronation has been used for British crownings ever since	George Frederick Handel	1992-05-22
THE 1991 EMMYS	This show won the Best Comedy Series, Actress & Supporting Actress awards	Cheers	1992-05-25
FOOD & DRINK	Before the introduction of Diet Coke, this was the leading diet soft drink in the U.S.	Tab	1992-05-28
VICE PRESIDENTS	He served FDR as Commerce Secretary, Agriculture Secretary, and Vice President	Henry Wallace	1992-05-29
PRESIDENTIAL ELECTIONS	He received the most electoral votes of any third party candidate in the 20th century	Teddy Roosevelt	1992-06-08
IN THE NEWS	"In an unannounced December 1991 speech at Columbia Univ., this author said, ""Free speech is life itself\"""	Salman Rushdie	1992-06-19
U.S. STATES	The 2 states formed from counties of the state of Virginia	West Virginia & Kentucky	1992-06-24
MEDICINE	It was the last of the 4 major blood groups to be discovered	AB	1992-06-25
U.S. COINS	This 10-letter word appears on only one current U.S. coin, the nickel	Monticello	1992-06-26
SHAKESPEARE	"The play in which a fool says, ""This cold night will turn us all to fools and madmen\"""	King Lear	1992-07-06
1991	"Time's 1991 Man of the Year, he made viewers around the world ""instant witnesses to history\"""	Ted Turner	1992-07-07
NATIONS OF THE WORLD	In one of its official languages, this country is called Repiblik Dayti	Haiti	1992-07-08
LITERATURE	"The prologue of ""The Canterbury Tales"" calls him ""the hooly blisful martir\"""	Becket	1992-07-09
20th CENTURY WOMEN	This legendary 71-year-old performer, the widow of a diplomat, died in Panama in 1991	Margot Fonteyn	1992-07-10
OPERA	Operas by Rossini, Bizet & Beethoven are set in or near this city	Seville	1992-07-13
GERMAN AUTHORS	"Composer Paul Dukas based ""The Sorcerer's Apprentice"" on a story by this poet, novelist & scientist"	Goethe	1992-07-14
WORLD WAR II	"During WWII this Mediterranean island was called Britain's ""only unsinkable aircraft carrier\"""	Malta	1992-07-15
FILMS OF THE '50s	"One of the 1st lines in this William Holden film is ""The poor dope. He always wanted a pool.\"""	Sunset Boulevard	1992-07-16
PRESIDENTIAL ELECTIONS	He was the last president elected with less than 50% of the popular vote	Nixon	1992-07-17
BUSINESS & INDUSTRY	This chain of 748 shoe stores was named for a Scottish professional golfer	Thom McAn	1992-09-07
FAMOUS SCIENTISTS	In 1969 the N.Y. Times retracted a 1920 editorial ridiculing his claim that rockets could fly to the Moon	Robert Goddard	1992-09-08
FAMOUS WOMEN	"On her death, Will Rogers said her ""consideration of others will live as a mark for any woman to shoot at\"""	Annie Oakley	1992-09-09
SHIPS	This British navy ship left Devenport Dec. 27, 1831 & went around the world on a 5-year survey mission	the HMS Beagle	1992-09-10
COUNTRIES OF THE WORLD	"The name of this country is New Latin for ""place of freedom\"""	Liberia	1992-09-11
POETRY	"About her Tennyson wrote, ""She took the tax away and built herself an everlasting name\"""	Lady Godiva	1992-09-14
PSYCHOLOGY	"In Freud's ""Interpretation of Dreams"", he mentions this king of Thebes"	Oedipus	1992-09-15
WORLD LEADERS	This dictator's original surname was Al-Tikriti	Saddam Hussein	1992-09-16
U.S. ELECTIONS	He's been on the Republican national ticket more than anyone else, 5 times	Richard Nixon	1992-09-17
FILMS OF THE '40s	In the 1940s this star made 8 films with Bing Crosby, more than any other actress	Dorothy Lamour	1992-09-18
U.S. GEOGRAPHY	"The name of this mountain chain means ""bark eaters"", a derogatory name the Iroquois gave their neighbors"	the Adirondack chain	1992-09-21
